,CPU,EQBIN_dw,EQBIN_lg,GPU,LGB
f23,0.12342290048916013,0.11885934902752,0.11885934902752,0.12164108760771139,0.10885373482583952
f15,0.10745674554340079,0.10968410395779642,0.10968410395779642,0.10910341348659992,0.09706207497593963
f27,0.08888791081515453,0.09168174661725015,0.09168174661725015,0.09220958471684873,0.060008978914649055
f26,0.07905633961699794,0.07929246369750662,0.07929246369750662,0.07625273458485272,0.07183780890154985
f12,0.06374032640786481,0.06205565933310665,0.06205565933310665,0.06230403729509559,0.05427170565918737
f31,0.05515990831737773,0.05551432452657212,0.05551432452657212,0.056003257762578286,0.07962885960426011
f6,0.0542448717581291,0.05412685824896169,0.05412685824896169,0.053249736969822985,0.06536585425945582
f30,0.050123249511289714,0.04923747793113761,0.04923747793113761,0.048114847541023235,0.05251646164828759
f11,0.048780913024415055,0.05117155892130562,0.05117155892130562,0.04974493604978075,0.05416145932423384
f9,0.04865247444211197,0.04888933777048938,0.04888933777048938,0.04804056947599067,0.06617640266041852
f0,0.04814255892209052,0.04862748264151093,0.04862748264151093,0.04828790510369279,0.06663466711530378
f22,0.04491024076707162,0.04618665957121567,0.04618665957121567,0.045402675777558646,0.06567489220369938
f19,0.040325792529839886,0.0404027887492537,0.0404027887492537,0.04026637718259656,0.04898445045647966
f7,0.039362386584892974,0.03684257977679741,0.03684257977679741,0.0391303145815559,0.029985114309322835
f28,0.037258780069753826,0.03670125423777867,0.03670125423777867,0.038497712570887715,0.043511674140981234
f16,0.03614269208127693,0.035737962095114977,0.035737962095114977,0.03555342111866353,0.029612264455073152
f20,0.0023017688410866093,0.00210896328865028,0.00210896328865028,0.002253143236243818,0.00036841140234865013
f8,0.002233427974748228,0.0021196393684984635,0.0021196393684984635,0.0022312550337959523,0.0003659136202934491
f29,0.0022183106260693333,0.002215287595732618,0.002215287595732618,0.0022185339462219983,0.0003233864818173369
f25,0.0022181412655209536,0.0022303010563924077,0.0022303010563924077,0.0021478578365110574,0.00035942985703306906
f2,0.0021986218066095456,0.0021496578416861636,0.0021496578416861636,0.0022073935090052696,0.00037304393003741154
f17,0.002190529521899373,0.0022584382394466996,0.0022584382394466996,0.0023843391263871543,0.0003480135294662134
f18,0.0021695647017786514,0.0020825656133423064,0.0020825656133423064,0.002149015407898372,0.00032191827693633457
f24,0.0021586531515763833,0.0022108476875514213,0.0022108476875514213,0.0023978670274940567,0.0003633194940463218
f10,0.002114210721123956,0.002298299914917267,0.002298299914917267,0.0021853755831517927,0.00035958683539053426
f1,0.002095876351935895,0.002167831258129965,0.002167831258129965,0.0026262469542617417,0.000348269116925495
f14,0.00209441499654302,0.0021529323792192833,0.0021529323792192833,0.0022201724527824373,0.0003512949262074755
f21,0.002092617010948861,0.002295128612638388,0.002295128612638388,0.002290930415168297,0.00035359523384152856
f5,0.0020901992621345485,0.0021551254775063083,0.0021551254775063083,0.002080964223708603,0.0003816459858968079
f4,0.002081030880247107,0.0021947754439930306,0.0021947754439930306,0.0023054145667386282,0.00034880745420274017
f13,0.0020597447448176295,0.002145723624174597,0.002145723624174597,0.0022742855038495264,0.0003722802600293227
f3,0.0020147972621322834,0.002202875494803155,0.002202875494803155,0.002224593351521936,0.0003746801408459391
