,,Time(sec),Time(sec),Time(sec),Time(sec),Time(sec),Ratio,Ratio,Ratio,Ratio
,,hist_dw,hist_lg,hist_GPU,GPU,LGB,hist_dw/LGB,hist_lg/LGB,hist_GPU/LGB,GPU/LGB
n_train,max_depth,,,,,,,,,
10000,5,0.6850547790527344,0.5692601203918457,0.3868741989135742,0.2565138339996338,0.13560199737548828,5.05195197940769,4.198021647244161,2.8530125396479336,1.891667076918749
10000,10,2.736405611038208,2.707421064376831,2.3801846504211426,0.5907392501831055,0.72808837890625,3.7583426549794616,3.7185335500670633,3.269087544010395,0.8113565156341689
10000,15,5.021893262863159,4.857712507247925,4.653540134429932,0.9024250507354736,2.5216803550720215,1.9914868483478865,1.9263791691430234,1.8454123755494865,0.35786655073882256
500000,5,4.701706409454346,4.55358624458313,1.210496187210083,10.802064657211304,3.1222007274627686,1.5058949823751882,1.4584540335699574,0.3877060742964412,3.4597598297241814
500000,10,15.453885793685913,15.483855247497559,8.240270137786865,25.945562601089478,8.460723400115967,1.826544263753392,1.8300864494973714,0.9739439227707077,3.0665891524989286
500000,15,55.64939069747925,55.022727966308594,37.05212330818176,40.40705919265747,31.343178749084473,1.7754864987682448,1.7554929066636484,1.182143126094511,1.2891819147040966
1000000,5,8.961053133010864,8.667092561721802,2.0133631229400635,25.176843643188477,6.395644903182983,1.401117990236001,1.3551553741528652,0.3148022057850731,3.936560585259896
1000000,10,24.42682433128357,25.02327799797058,10.640620231628418,58.97763013839722,17.447718620300293,1.400001046719262,1.4341862419110876,0.6098573952956884,3.380248812000967
1000000,15,96.3573055267334,94.92894339561462,54.049957036972046,91.68096280097961,56.47428798675537,1.7062155002172243,1.6809232445370152,0.9570719519234684,1.6234106895244271
2000000,5,17.103963136672974,17.148486375808716,3.5853869915008545,56.71687364578247,12.770030975341797,1.3393830578563006,1.3428695990574704,0.2807657239378693,4.441404547514374
2000000,10,40.88852620124817,40.754488945007324,14.1156325340271,131.76715517044067,33.968390703201294,1.2037227950688492,1.1997768543437792,0.415551995305353,3.8791109158439614
2000000,15,146.00008273124695,143.1305513381958,75.48886036872864,204.95563220977783,99.3137481212616,1.4700893430482713,1.4411957462670133,0.7601048374144244,2.063718629967807
